base_intent_id,model_name,group_response_count,group_core_sensitivity,group_semantic_sensitivity
TECH_T10,ChatGPT,5,0.45770673524433514,0.18553863766254564
TECH_T10,Claude,10,0.6707362537755598,0.46497254597123217
TECH_T10,Gemini,10,0.616645598552767,0.41462210545179695
TECH_T11,Claude,9,0.47061802375026346,0.19827701520592875
TECH_T11,Gemini,10,0.46947731881530597,0.1983121705565783
TECH_T12,Claude,9,0.4679364705462553,0.23997622768889482
TECH_T12,Gemini,10,0.48462563674138376,0.24023507325285687
TECH_T13,Claude,10,0.536296090233557,0.30658746088502065
TECH_T13,Gemini,10,0.5268179520809361,0.2881140247568359
TECH_T14,ChatGPT,3,0.45032664811802664,0.2249308768523497
TECH_T14,Claude,10,0.5286222029151647,0.34091005248885686
TECH_T14,Gemini,10,0.5818107420487297,0.34660889257019317
TECH_T15,ChatGPT,6,0.43276539234403427,0.158013829471289
TECH_T15,Claude,10,0.6184102356904264,0.380902223839206
TECH_T15,Gemini,10,0.6073976557845062,0.3660767999354859
TECH_T16,ChatGPT,3,0.4295924320263998,0.2093088350756518
TECH_T16,Claude,10,0.578348882041455,0.35717878419223376
TECH_T16,Gemini,10,0.5498371860301242,0.29121335762230843
TECH_T17,Claude,10,0.5186806493620184,0.2981860428131024
TECH_T17,Gemini,10,0.5074057087253628,0.25596252757693716
TECH_T18,Claude,8,0.3633549096573641,0.13247099084745403
TECH_T18,Gemini,10,0.37630644446678746,0.10566606067191486
TECH_T19,Claude,10,0.42224951265940824,0.1494549787462368
TECH_T19,Gemini,10,0.40383238914792247,0.13556167181275044
TECH_T20,ChatGPT,3,0.44768995542285134,0.20716403933383365
TECH_T20,Claude,9,0.6511560853565841,0.4175295446298299
TECH_T20,Gemini,10,0.544985193764665,0.3172133911589664
