base_intent_id,domain,model_name,group_response_count,group_core_sensitivity,group_semantic_sensitivity,group_claim_risk_proxy,group_recommendation_instability,group_token_ceiling_rate
FINA_F19,Finance,ChatGPT,7,0.32398680590970086,0.07053935933408038,0.85,0.9959455782312926,0.7142857142857143
FINA_F19,Finance,Claude,10,0.39289347759453364,0.11095153684240418,0.8099999999999999,0.995257635497199,0.0
FINA_F19,Finance,Gemini,10,0.3571042791198151,0.08655529313584337,0.865,0.9960317460317462,0.0
FINA_F20,Finance,ChatGPT,10,0.4622692218051956,0.2233384617297034,0.8099999999999999,0.9985714285714286,0.5
FINA_F20,Finance,Claude,10,0.5345472202755888,0.2994242651307813,0.6849999999999999,0.9896785139176443,0.0
FINA_F20,Finance,Gemini,10,0.4921046334083069,0.2454251107535165,0.78,0.9699551066217733,0.0
HEAL_H01,Healthcare,ChatGPT,10,0.5360020284986244,0.2686210213270082,0.5,0.9910743464052287,0.5
HEAL_H01,Healthcare,Claude,10,0.560575566832689,0.3070985158305418,0.22000000000000003,0.9985380116959064,0.1
HEAL_H01,Healthcare,Gemini,10,0.6187245259698779,0.346319703131913,0.6849999999999999,0.9912037037037038,0.0
HEAL_H02,Healthcare,ChatGPT,10,0.47448599753420506,0.2803487339504855,0.9550000000000001,0.993344139895864,0.7
HEAL_H02,Healthcare,Claude,10,0.516476747691483,0.3178368461432978,0.8699999999999999,0.9992063492063493,0.0
HEAL_H02,Healthcare,Gemini,10,0.5062860304444327,0.23917481208586205,0.8099999999999999,0.9983660130718953,0.0
HEAL_H03,Healthcare,ChatGPT,10,0.38841215943672447,0.1502701443411267,0.36,0.987598885469445,0.5
HEAL_H03,Healthcare,Claude,10,0.48331878905649617,0.2416259490303727,0.29,0.9982326437771982,0.1
HEAL_H03,Healthcare,Gemini,10,0.4934828272682899,0.24523881519827834,0.64,0.9960317460317462,0.0
HEAL_H04,Healthcare,ChatGPT,10,0.44804049964593873,0.23827889128848087,0.725,0.9817868473908281,0.5
HEAL_H04,Healthcare,Claude,10,0.589181509243251,0.3954246365016434,0.36,0.9975839568283453,0.1
HEAL_H04,Healthcare,Gemini,10,0.5341459558417014,0.32342761310345935,0.7949999999999999,0.9701139422630651,0.0
HEAL_H05,Healthcare,ChatGPT,10,0.425535638269236,0.17948709597200146,0.8949999999999999,0.9982638888888888,0.7
HEAL_H05,Healthcare,Claude,10,0.4899410467428448,0.24784128536598674,0.8150000000000001,0.9903959625160605,0.0
HEAL_H05,Healthcare,Gemini,10,0.5185622537431418,0.24914833990098698,0.77,0.9974747474747474,0.0
HEAL_H06,Healthcare,ChatGPT,10,0.4450092786844575,0.1998612963197891,0.825,0.9960512198706643,0.8
HEAL_H06,Healthcare,Claude,10,0.4697966882725132,0.23164680789432093,0.645,0.9846195279432772,0.0
HEAL_H06,Healthcare,Gemini,10,0.5143491492663081,0.2885298821326395,0.71,0.9856296685340804,0.0
HEAL_H07,Healthcare,ChatGPT,10,0.4085624781985623,0.12736250426823956,0.40499999999999997,0.9904170405201345,0.5
HEAL_H07,Healthcare,Claude,10,0.534254970604277,0.25996174104096825,0.375,0.9937890773020084,0.1
HEAL_H07,Healthcare,Gemini,10,0.48527932200023116,0.2043013861038808,0.74,0.9341836734693878,0.0
